PRODUTO_ID_ORIGEM,NOME_ORIGINAL,RESULTADO,PRODUTO_CONSOLIDADO,NOME_CONSOLIDADO,DUPLICADO_DE,MOTIVO,FONTE_ORIGINAL,FONTE_CONSOLIDADA,CONFIANCA,LINHA_NA_PLANILHA_ORIGINAL,OBSERVACAO,TIPO_REGISTRO
DJI-029,BATERIA T30,IMPORTAR,DJI-029,BATERIA T30,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 73,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-030,BATERIA T10,IMPORTAR,DJI-030,BATERIA T10,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 74,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-031,CARREGADOR T100 / T70P (C12000),IMPORTAR,DJI-031,CARREGADOR T100 / T70P (C12000),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 75,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-032,CARREGADOR T55 (C7000),IMPORTAR,DJI-032,CARREGADOR T55 (C7000),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 76,confianca ALTA - provado: a diferenca entre os kits T55 DB1050 com C7000 e com D8000 bate exatamente nas duas colunas,ORIGEM
DJI-033,CARREGADOR T50 / T40 (C10000),IMPORTAR,DJI-033,CARREGADOR T50 / T40 (C10000),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 77,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-034,CARREGADOR T25P / T25 (C8000),IMPORTAR,DJI-034,CARREGADOR T25P / T25 (C8000),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 78,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-035,CARREGADOR T10,IMPORTAR,DJI-035,CARREGADOR T10,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 79,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-036,GERADOR T100 / T70P (D14000),IMPORTAR,DJI-036,GERADOR T100 / T70P (D14000),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 80,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-037,GERADOR T55 (D8000),IMPORTAR,DJI-037,GERADOR T55 (D8000),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 81,confianca ALTA - provado: a diferenca entre os kits T55 DB1050 com C7000 e com D8000 bate exatamente nas duas colunas,ORIGEM
DJI-038,GERADOR T50 / T40 (D12000),IMPORTAR,DJI-038,GERADOR T50 / T40 (D12000),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 82,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-039,GERADOR T25P / T25 (D6000),IMPORTAR,DJI-039,GERADOR T25P / T25 (D6000),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 83,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-040,DRONE AVULSO T100,IMPORTAR,DJI-040,DRONE AVULSO T100,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 84,"confianca MEDIA - nao inclui kit WB37 | PROMOCAO DE CONFIANCA: As duas metades do T100 no Excel 2026 (47.350 + 47.350) somam exatamente 94.700, o preco a vista do DRONE AVULSO T100 na DJI. Confirmacao independente, mesmo criterio usado pela planilha para promover outros itens",ORIGEM
DJI-041,DRONE AVULSO T70P,IMPORTAR,DJI-041,DRONE AVULSO T70P,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 85,"confianca MEDIA - nao inclui kit WB37 | PROMOCAO DE CONFIANCA: As duas metades do T70P no Excel 2026 (30.550 + 30.550) somam exatamente 61.100, o preco a vista do DRONE AVULSO T70P na DJI. Confirmacao independente",ORIGEM
DJI-042,DRONE AVULSO T25P,IMPORTAR,DJI-042,DRONE AVULSO T25P,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 86,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-043,DRONE AVULSO T100 (SEM KIT PULVERIZACAO),IMPORTAR,DJI-043,DRONE AVULSO T100 (SEM KIT PULVERIZACAO),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 87,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-044,DRONE AVULSO T55,IMPORTAR,DJI-044,DRONE AVULSO T55,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 88,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-045,KIT DE PULV. T100 DUAL BATTERY + CABO,IMPORTAR,DJI-045,KIT DE PULV. T100 DUAL BATTERY + CABO,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 89,confianca ALTA - mesmo valor usado nos kits upgrade,ORIGEM
DJI-046,DISPERSOR DE SOLIDOS T100,IMPORTAR,DJI-046,KIT DE PULVERIZACAO DJI T100,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 90,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-047,DISPERSOR DE SOLIDOS T70P,IMPORTAR,DJI-047,DISPERSOR DE SOLIDOS T70P,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 91,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-048,DISPERSOR DE SOLIDOS T25P,IMPORTAR,DJI-048,DISPERSOR DE SOLIDOS T25P,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 92,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-049,DISPERSOR DE SOLIDOS T55,IMPORTAR,DJI-049,DISPERSOR DE SOLIDOS T55,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 93,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-050,DISPERSOR DE SOLIDOS T50,IMPORTAR,DJI-050,DISPERSOR DE SOLIDOS T50,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 94,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-051,DISPERSOR DE SOLIDOS T25,IMPORTAR,DJI-051,DISPERSOR DE SOLIDOS T25,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 95,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-052,DISPERSOR DE SOLIDOS T40,IMPORTAR,DJI-052,DISPERSOR DE SOLIDOS T40,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 96,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-053,DISPERSOR DE SOLIDOS T20P,IMPORTAR,DJI-053,DISPERSOR DE SOLIDOS T20P,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 97,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-054,DISPERSOR DE SOLIDOS T30,MANTIDO FORA DA CARGA,DJI-054,DISPERSOR DE SOLIDOS T30,,SEM PRECO,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 98,SEM PRECO: DISPERSOR T30 saiu de linha e nao tem nenhum preco na fonte | confianca ALTA - SAIU DE LINHA,ORIGEM
DJI-055,DISPERSOR DE SOLIDOS T10,IMPORTAR,DJI-055,DISPERSOR DE SOLIDOS T10,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 99,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-056,KIT BICOS T100 (BICO DE NEVOA),IMPORTAR,DJI-056,KIT BICOS T100 (BICO DE NEVOA),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 100,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-057,KIT BICOS T70P (BICO DE NEVOA),IMPORTAR,DJI-057,KIT BICOS T70P (BICO DE NEVOA),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 101,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-058,KIT BICOS T25P,IMPORTAR,DJI-058,KIT BICOS T25P,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 102,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-059,KIT BICOS T55,IMPORTAR,DJI-059,KIT BICOS T55,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 103,confianca ALTA,ORIGEM
DJI-060,KIT BICOS T50,IMPORTAR,DJI-060,KIT BICOS T50,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 104,confianca ALTA,ORIGEM
DJI-061,KIT BICOS T25,IMPORTAR,DJI-061,KIT BICOS T25,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 105,confianca ALTA,ORIGEM
DJI-062,LIFT T100 (DUAL BATTERY),IMPORTAR,DJI-062,LIFT T100 (DUAL BATTERY),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 106,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-063,LIFT T70P,IMPORTAR,DJI-063,LIFT T70P,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 107,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-064,LIFT T55 (DL100),IMPORTAR,DJI-064,LIFT T55 (DL100),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 108,confianca ALTA,ORIGEM
DJI-065,DRONE MAVIC 3 MULTIS,IMPORTAR,DJI-065,DRONE MAVIC 3 MULTIS,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 109,confianca ALTA,ORIGEM
DJI-066,KIT 03 BATS MAVIC 3 MULT,IMPORTAR,DJI-066,KIT 03 BATS MAVIC 3 MULT,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 110,confianca ALTA,ORIGEM
DJI-067,GNSS DJI BASE RTK DRTK2,MANTIDO FORA DA CARGA,DJI-067,GNSS DJI BASE RTK DRTK2,,SEM PRECO,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 111,"SEM PRECO: GNSS DRTK2 em falta na fabrica, sem preco a vista nem faturado | confianca ALTA - DJI esta em falta na fabrica",ORIGEM
DJI-068,GNSS DJI BASE RTK DRTK3 AG,IMPORTAR,DJI-068,GNSS DJI BASE RTK DRTK3 AG,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 112,"confianca CONFERIR - o par 12.500/12.220 na mesma linha pode pertencer a este item | PROMOCAO DE CONFIANCA: O motivo do CONFERIR era o par orfao 12.500/12.220 poder pertencer a este item. A planilha Excel 2026 registra, para o proprio D-RTK 3 AG, o valor alternativo 7.200 - identico ao a vista da DJI. Duas fontes independentes no mesmo numero dissolvem a duvida: o par 12.500/12.220 e do CARREGADOR C12000, ja provado",ORIGEM
DJI-069,GNSS DJI RTK DRTK3 MULTIFUNCIONAL,IMPORTAR,DJI-069,GNSS DJI RTK DRTK3 MULTIFUNCIONAL,,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 113,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-070,BASE/HUB DJI P/ MAVIC 3 MULT (4288),IMPORTAR,DJI-070,BASE/HUB DJI P/ MAVIC 3 MULT (4288),,CONFERIDO VISUALMENTE NO PDF DJI V16.2,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 114,V4: nome e valores a vista/faturado estao legiveis no PDF DJI SUBDEALER V16.2.,ORIGEM
DJI-071,RELAY O3 (MODELO ANTIGO),IMPORTAR,DJI-071,RELAY O3 (MODELO ANTIGO),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 115,confianca ALTA,ORIGEM
DJI-072,RELAY O4 (MODELO NOVO),IMPORTAR,DJI-072,RELAY O4 (MODELO NOVO),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 116,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-073,BASTAO P/ RELAY 4 METROS (1982),IMPORTAR,DJI-073,BASTAO P/ RELAY 4 METROS (1982),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 117,confianca ALTA,ORIGEM
DJI-074,BASTAO P/ RELAY 8 METROS (5218),IMPORTAR,DJI-074,BASTAO P/ RELAY 8 METROS (5218),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 118,confianca ALTA,ORIGEM
DJI-075,BIPE P/ BASTAO (1626),IMPORTAR,DJI-075,BIPE P/ BASTAO (1626),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 119,confianca ALTA,ORIGEM
DJI-076,TRIPE P/ RELAY E RTK (1980),IMPORTAR,DJI-076,TRIPE P/ RELAY E RTK (1980),,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 120,confianca ALTA,ORIGEM
DJI-077,TRIPE + BASTAO ORIGINAL DJI D-RTK 3,IMPORTAR,DJI-077,TRIPE + BASTAO ORIGINAL DJI D-RTK 3,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 121,confianca ALTA - confere com a planilha Excel 2026 (TRIPE D-RTK 2.500),ORIGEM
DJI-078,TRIPE ORIGINAL DJI PARA D-RTK 2,IMPORTAR,DJI-078,TRIPE ORIGINAL DJI PARA D-RTK 2,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 122,confianca ALTA,ORIGEM
DJI-079,CARREGADOR P/ BATERIA WB37,IMPORTAR,DJI-079,CARREGADOR P/ BATERIA WB37,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 123,confianca ALTA,ORIGEM
DJI-080,FONTE 65W P/ WB37,IMPORTAR,DJI-080,FONTE 65W P/ WB37,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 124,confianca ALTA,ORIGEM
DJI-081,BATERIA CONTROLE WB37,IMPORTAR,DJI-081,BATERIA CONTROLE WB37,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 125,confianca ALTA - confere com a planilha Excel 2026,ORIGEM
DJI-082,RADIO CONTROLE T40/T50/T20P/T25,IMPORTAR,DJI-082,RADIO CONTROLE T40/T50/T20P/T25,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 126,confianca ALTA,ORIGEM
DJI-083,RADIO CONTROLE T25P/T70P/T100,IMPORTAR,DJI-083,RADIO CONTROLE T25P/T70P/T100,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 127,confianca ALTA,ORIGEM
DJI-084,CABO DJI ADAP DO CARREG C10000,IMPORTAR,DJI-084,CABO DJI ADAP DO CARREG C10000,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 128,confianca ALTA,ORIGEM
DJI-085,RESFRIADOR DE BATERIAS T100/T70P,IMPORTAR,DJI-085,RESFRIADOR DE BATERIAS T100/T70P,,Sem pendencia,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 129,confianca ALTA,ORIGEM
DJI-086,ITEM SEM ROTULO IDENTIFICADO NA EXTRACAO,CONSOLIDADO EM OUTRO,DJI-070,BASE/HUB DJI P/ MAVIC 3 MULT (4288),DJI-070,PAR 750/790 REATRIBUIDO AO BASE/HUB DJI-070,DJI SUBDEALER V16.2,DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 130,V4: o par de valores sem rotulo na extracao pertence ao BASE/HUB DJI P/ MAVIC 3 MULT (4288).,ORIGEM
JR-001,DRONE MIX 130L LT NEW 2x18lpm 12volts,IMPORTAR,JR-001,DRONE MIX 130L LT NEW 2x18lpm 12volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 131,NCM 84368000,ORIGEM
JR-002,DRONE MIX 200L LT NEW 2x26lpm 12volts,IMPORTAR,JR-002,DRONE MIX 200L LT NEW 2x26lpm 12volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 132,NCM 84368000,ORIGEM
JR-003,DRONE FEEDER 500 - 220Volts,IMPORTAR,JR-003,DRONE FEEDER 500 - 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 133,NCM 84368000,ORIGEM
JR-004,DRONE MIX 130L LE Agitacao Hidraulica 220Volts,IMPORTAR,JR-004,DRONE MIX 130L LE Agitacao Hidraulica 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 134,NCM 84368000,ORIGEM
JR-005,DRONE MIX 200L LE Agitacao Hidraulica 220Volts,IMPORTAR,JR-005,DRONE MIX 200L LE Agitacao Hidraulica 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 135,NCM 84368000,ORIGEM
JR-006,DRONE MIX 320L LE Agitacao Hidraulica 220Volts,IMPORTAR,JR-006,DRONE MIX 320L LE Agitacao Hidraulica 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 136,NCM 84368000,ORIGEM
JR-007,DRONE MIX 320L XT VERTICAL Agitacao Hid + Rotor Superior 220Volts,IMPORTAR,JR-007,DRONE MIX 320L XT VERTICAL Agitacao Hid + Rotor Superior 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 137,NCM 84368000,ORIGEM
JR-008,DRONE MIX 320L XT VERTICAL Agitacao Hid + Rotor Superior TRIFASICO 380Volts,IMPORTAR,JR-008,DRONE MIX 320L XT VERTICAL Agitacao Hid + Rotor Superior TRIFASICO 380Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 138,NCM 84368000,ORIGEM
JR-009,DRONE MIX 600L XT VERTICAL Agitacao Hid + Rotor Superior 220Volts,IMPORTAR,JR-009,DRONE MIX 600L XT VERTICAL Agitacao Hid + Rotor Superior 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 139,NCM 84368000,ORIGEM
JR-010,DRONE MIX 600L XT VERTICAL Agitacao Hid + Rotor Superior TRIFASICO 380Volts,IMPORTAR,JR-010,DRONE MIX 600L XT VERTICAL Agitacao Hid + Rotor Superior TRIFASICO 380Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 140,NCM 84368000,ORIGEM
JR-011,DRONE MIX 320L LE PICKUP Agitacao Hidraulica 220Volts,IMPORTAR,JR-011,DRONE MIX 320L LE PICKUP Agitacao Hidraulica 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 141,NCM 84368000,ORIGEM
JR-012,DRONE MIX 320L XT PICKUP Agitacao Hid + Rotor Superior 220Volts,IMPORTAR,JR-012,DRONE MIX 320L XT PICKUP Agitacao Hid + Rotor Superior 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 142,NCM 84368000,ORIGEM
JR-013,DRONE MIX 600L LE 1.5 PICKUP Agitacao Hidraulica 220Volts,IMPORTAR,JR-013,DRONE MIX 600L LE 1.5 PICKUP Agitacao Hidraulica 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 143,NCM 84368000,ORIGEM
JR-014,DRONE MIX 600L XT 1.5 PICKUP Agitacao Hid + Rotor Superior 220Volts,IMPORTAR,JR-014,DRONE MIX 600L XT 1.5 PICKUP Agitacao Hid + Rotor Superior 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 144,NCM 84368000,ORIGEM
JR-015,TANQUE DE AGUA LIMPA 270L com 8lts de Potavel PickUp,CONSOLIDADO EM OUTRO,JR-028,TANQUE DE AGUA LIMPA 270L com 8lts de Potavel PickUp,JR-028,DUPLICIDADE,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 145,DUPLICIDADE: Codigo 1781 identico. O tanque aparece em LINHA PICK UP e em TANQUES DE AGUA LIMPA no PDF original; consolidado na linha propria do produto | NCM 84369000,ORIGEM
JR-016,TANQUE DE AGUA LIMPA 410L com 8lts de Potavel PickUp,CONSOLIDADO EM OUTRO,JR-029,TANQUE DE AGUA LIMPA 410L com 8lts de Potavel PickUp,JR-029,DUPLICIDADE,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 146,DUPLICIDADE: Codigo 2189 identico. Mesmo caso do 1781 | NCM 84369000,ORIGEM
JR-017,DRONE MIX 600L LE 1.5 PICKUP Agitacao Hid TRIFASICO 380V,IMPORTAR,JR-017,DRONE MIX 600L LE 1.5 PICKUP Agitacao Hid TRIFASICO 380V,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 147,NCM 84368000,ORIGEM
JR-018,DRONE MIX 600L XT 1.5 PICKUP Agitacao Hid + Rotacao TRIFASICO 380V,IMPORTAR,JR-018,DRONE MIX 600L XT 1.5 PICKUP Agitacao Hid + Rotacao TRIFASICO 380V,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 148,NCM 84368000,ORIGEM
JR-019,DRONE MIX 320L GT Agitacao por MotoBomba a Gasolina INOX,IMPORTAR,JR-019,DRONE MIX 320L GT Agitacao por MotoBomba a Gasolina INOX,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 149,NCM 84368000,ORIGEM
JR-020,DRONE MIX 600L GT Agitacao por MotoBomba a Gasolina INOX,IMPORTAR,JR-020,DRONE MIX 600L GT Agitacao por MotoBomba a Gasolina INOX,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 150,NCM 84368000,ORIGEM
JR-021,DRONE MIX 1.200L GT Agitacao por MotoBomba a Gasolina INOX,IMPORTAR,JR-021,DRONE MIX 1.200L GT Agitacao por MotoBomba a Gasolina INOX,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 151,NCM 84368000,ORIGEM
JR-022,DRONE MIX 320L DTE Agitacao por MotoBomba a Diesel INOX com Partida,IMPORTAR,JR-022,DRONE MIX 320L DTE Agitacao por MotoBomba a Diesel INOX com Partida,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 152,NCM 84368000,ORIGEM
JR-023,DRONE MIX 600L DTE Agitacao por MotoBomba a Diesel INOX com Partida,IMPORTAR,JR-023,DRONE MIX 600L DTE Agitacao por MotoBomba a Diesel INOX com Partida,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 153,NCM 84368000,ORIGEM
JR-024,DRONE MIX 1.200L DTE Agitacao por MotoBomba a Diesel INOX com Partida,IMPORTAR,JR-024,DRONE MIX 1.200L DTE Agitacao por MotoBomba a Diesel INOX com Partida,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 154,NCM 84368000,ORIGEM
JR-025,DRONE MIX 1.200 XP 2.0 Agitacao Hidraulica 220Volts,IMPORTAR,JR-025,DRONE MIX 1.200 XP 2.0 Agitacao Hidraulica 220Volts,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 155,NCM 84368000,ORIGEM
JR-026,DRONE MIX 1.200 XP 2.0 Agitacao Hidraulica 220Volts TRIFASICO 380V,IMPORTAR,JR-026,DRONE MIX 1.200 XP 2.0 Agitacao Hidraulica 220Volts TRIFASICO 380V,,Sem pendencia,JR SOLUÇÕES JAN/26,JR SOLUÇÕES JAN/26,ALTA,PRODUTOS linha 156,NCM 84368000,ORIGEM
